Well,Bacteria,Phage Added?,Media
A1,NA,NA,NA
A2,NA,NA,NA
A3,NA,NA,NA
A4,NA,NA,NA
A5,NA,NA,NA
A6,NA,NA,NA
A7,NA,NA,NA
A8,NA,NA,NA
A9,NA,NA,NA
A10,NA,NA,NA
A11,NA,NA,NA
A12,NA,NA,NA
B1,NA,NA,NA
B2,PF,Yes,KB Media
B3,PF,Yes,KB Media
B4,PF,Yes,KB Media
B5,7x CLD,Yes,KB Media
B6,7x CLD,Yes,KB Media
B7,7x CLD,Yes,KB Media
B8,PF,No,KB Media
B9,PF,No,KB Media
B10,7x CLD,No,KB Media
B11,7x CLD,No,KB Media
B12,NA,NA,NA
C1,NA,NA,NA
C2,125 ALE,Yes,KB Media
C3,125 ALE,Yes,KB Media
C4,125 ALE,Yes,KB Media
C5,7x EGD,Yes,KB Media
C6,7x EGD,Yes,KB Media
C7,7x EGD,Yes,KB Media
C8,125 ALE,No,KB Media
C9,125 ALE,No,KB Media
C10,7x EGD,No,KB Media
C11,7x EGD,No,KB Media
C12,NA,NA,NA
D1,NA,NA,NA
D2,7x EGC,Yes,KB Media
D3,7x EGC,Yes,KB Media
D4,7x EGC,Yes,KB Media
D5,7x ALA,Yes,KB Media
D6,7x ALA,Yes,KB Media
D7,7x ALA,Yes,KB Media
D8,7x EGC,No,KB Media
D9,7x EGC,No,KB Media
D10,7x ALA,No,KB Media
D11,7x ALA,No,KB Media
D12,NA,NA,NA
E1,NA,NA,NA
E2,7x ALD,Yes,KB Media
E3,7x ALD,Yes,KB Media
E4,7x ALD,Yes,KB Media
E5,125 CGA,Yes,KB Media
E6,125 CGA,Yes,KB Media
E7,125 CGA,Yes,KB Media
E8,7x ALD,No,KB Media
E9,7x ALD,No,KB Media
E10,NA,NA,NA
E11,NA,NA,NA
E12,NA,NA,NA
F1,NA,NA,NA
F2,125 ALA,Yes,KB Media
F3,125 ALA,Yes,KB Media
F4,125 ALA,Yes,KB Media
F5,NA,NA,KB Media
F6,NA,NA,KB Media
F7,NA,NA,KB Media
F8,125 ALA,No,KB Media
F9,125 ALA,No,KB Media
F10,NA,NA,NA
F11,NA,NA,NA
F12,NA,NA,NA
G1,NA,NA,NA
G2,125 CGE,Yes,KB Media
G3,125 CGE,Yes,KB Media
G4,125 CGE,Yes,KB Media
G5,NA,NA,NA
G6,NA,NA,NA
G7,NA,NA,NA
G8,125 CGE,No,KB Media
G9,125 CGE,No,KB Media
G10,NA,NA,NA
G11,NA,NA,NA
G12,NA,NA,NA
H1,NA,NA,NA
H2,NA,NA,NA
H3,NA,NA,NA
H4,NA,NA,NA
H5,NA,NA,NA
H6,NA,NA,NA
H7,NA,NA,NA
H8,NA,NA,NA
H9,NA,NA,NA
H10,NA,NA,NA
H11,NA,NA,NA
H12,NA,NA,NA
